"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Implementation Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Comment Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Coupling Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Finalizer Rules","Import Statement Rules","Inheritance Metric Rules","J2EE Rules","JUnit Rules","Jakarta Commons Logging Rules","Java Logging Rules","JavaBean Rules","MigratingToJUnit4 Rules","Migration Rules","Migration13 Rules","Migration14 Rules","Migration15 Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L10361","IntegrationTest","functional.IntegrationTest","L10357","L103","C:\Users\Michelle\Downloads\SourceMeter-8.1.0-x64-windows\SourceMeter-8.1.0-x64-windows\Java\Demo\femr-master\femr-master\test\functional\IntegrationTest.java","8","1","18","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.818182","9","0","0","1","0.818182","9","0","0","0","0","0","2","11","0","0","0","0","0","0","0","0","0","0","0","0","0","2","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3336","ItemModelMapper","femr.common.ItemModelMapper","L3194","L103","C:\Users\Michelle\Downloads\SourceMeter-8.1.0-x64-windows\SourceMeter-8.1.0-x64-windows\Java\Demo\femr-master\femr-master\app\femr\common\ItemModelMapper.java","37","1","609","2","0.0451051","3","7","4","0.0628272","0.0763359","36","30","16","4","3","98","38","1","0","197","215","0.947368","0.144708","67","55","18","1","0.144708","67","1","1","0","0","1","396","573","0","0","0","0","18","0","18","0","18","249","0","18","0","396","573","0","0","0","0","18","0","18","0","18","249","0","18","0","0","0","71","2","34","0","0","34","0","17","0","1","0","2","0","9","0","2","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0"
"L4627","DataModelMapper","femr.data.DataModelMapper","L4509","L103","C:\Users\Michelle\Downloads\SourceMeter-8.1.0-x64-windows\SourceMeter-8.1.0-x64-windows\Java\Demo\femr-master\femr-master\app\femr\data\DataModelMapper.java","37","1","620","2","0.0749186","2","8","4","0.0856164","0.0887728","50","34","1","2","1","75","34","1","0","101","126","0.961538","0.174194","81","76","25","1","0.174194","81","1","1","0","0","1","384","584","31","0","31","0","25","0","25","0","25","226","0","25","0","384","584","31","0","31","0","25","0","25","0","25","226","0","25","0","0","0","81","8","10","0","0","10","0","24","0","0","0","0","0","4","0","4","39","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","1","0","0","3","0"
"L13564","GuiceJUnitRunner","util.runners.GuiceJUnitRunner","L13561","L103","C:\Users\Michelle\Downloads\SourceMeter-8.1.0-x64-windows\SourceMeter-8.1.0-x64-windows\Java\Demo\femr-master\femr-master\test\util\runners\GuiceJUnitRunner.java","36","1","108","2","0","0","0","0","0","0","0","0","1","2","2","8","1","0","0","1","5","1","0.469697","31","31","3","0","0.430556","31","0","0","0","0","0","35","67","1","1","1","1","4","0","2","0","4","19","0","2","0","41","73","1","1","1","1","5","0","2","0","5","19","0","2","0","0","0","5","1","3","0","0","1","0","0","0","0","0","0","0","0","0","2","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"L124","LogicDoer","femr.business.helpers.LogicDoer","L106","L103","C:\Users\Michelle\Downloads\SourceMeter-8.1.0-x64-windows\SourceMeter-8.1.0-x64-windows\Java\Demo\femr-master\femr-master\app\femr\business\helpers\LogicDoer.java","28","1","123","2","0.618834","1","9","3","0.416667","0.62069","40","36","1","3","2","14","2","3","3","4","8","0.8","0.325581","28","24","4","1","0.325581","28","0","0","0","0","0","58","96","0","3","0","3","4","0","4","0","4","38","0","4","0","58","96","0","3","0","3","4","0","4","0","4","38","0","4","0","0","0","24","6","3","0","0","3","0","23","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","3","0","0","0","0"
"L170","QueryHelper","femr.business.helpers.QueryHelper","L106","L103","C:\Users\Michelle\Downloads\SourceMeter-8.1.0-x64-windows\SourceMeter-8.1.0-x64-windows\Java\Demo\femr-master\femr-master\app\femr\business\helpers\QueryHelper.java","33","1","134","2","0.573643","1","6","3","0.411765","0.525","42","42","7","1","1","11","8","1","4","5","12","0.375","0.111111","10","10","3","5","0.111111","10","0","0","0","0","0","80","102","0","0","0","0","7","0","7","0","7","29","0","7","0","80","102","0","0","0","0","7","0","7","0","7","29","0","7","0","0","0","37","8","1","0","0","0","0","23","0","1","0","0","0","0","0","4","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","4","0","0","0"
"L261","QueryProvider","femr.business.helpers.QueryProvider","L106","L103","C:\Users\Michelle\Downloads\SourceMeter-8.1.0-x64-windows\SourceMeter-8.1.0-x64-windows\Java\Demo\femr-master\femr-master\app\femr\business\helpers\QueryProvider.java","34","1","161","2","0","0","0","0","0","0","0","0","0","0","0","31","31","15","94","0","31","0.0625","0.040404","4","4","2","30","0.040404","4","0","0","0","0","0","95","128","0","31","0","31","31","0","31","0","31","31","0","31","0","95","128","0","31","0","31","31","0","31","0","31","31","0","31","0","0","0","71","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","63","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0"
"L868","CurrentUser","femr.common.dtos.CurrentUser","L3198","L103","C:\Users\Michelle\Downloads\SourceMeter-8.1.0-x64-windows\SourceMeter-8.1.0-x64-windows\Java\Demo\femr-master\femr-master\app\femr\common\dtos\CurrentUser.java","25","1","70","2","0","0","0","0","0","0","0","0","0","0","0","8","1","18","17","0","8","0","0.0263158","1","1","0","9","0.0263158","1","0","0","0","0","0","37","46","6","6","6","6","8","0","8","1","8","13","0","8","1","37","46","6","6","6","6","8","0","8","1","8","13","0","8","1","0","0","22","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0"
"L401","ServiceResponse<T extends Object>","femr.common.dtos.ServiceResponse","L3198","L103","C:\Users\Michelle\Downloads\SourceMeter-8.1.0-x64-windows\SourceMeter-8.1.0-x64-windows\Java\Demo\femr-master\femr-master\app\femr\common\dtos\ServiceResponse.java","26","1","55","2","0","0","0","0","0","0","0","0","1","0","0","6","0","44","151","0","6","0","0","0","0","0","7","0","0","0","0","0","0","0","23","30","2","2","2","2","6","0","6","1","6","7","0","6","1","23","30","2","2","2","2","6","0","6","1","6","7","0","6","1","0","0","15","1","1","0","0","0","0","0","0","0","0","0","0","0","0","2","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L656","CityItem","femr.common.models.CityItem","L3788","L103","C:\Users\Michelle\Downloads\SourceMeter-8.1.0-x64-windows\SourceMeter-8.1.0-x64-windows\Java\Demo\femr-master\femr-master\app\femr\common\models\CityItem.java","21","1","40","2","0","0","0","0","0","0","0","0","0","0","0","4","0","10","2","0","4","0","0","0","0","0","5","0","0","0","0","0","0","0","15","20","2","2","2","2","4","0","4","2","4","4","0","4","2","15","20","2","2","2","2","4","0","4","2","4","4","0","4","2","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L599","MedicationAdministrationItem","femr.common.models.MedicationAdministrationItem","L3788","L103","C:\Users\Michelle\Downloads\SourceMeter-8.1.0-x64-windows\SourceMeter-8.1.0-x64-windows\Java\Demo\femr-master\femr-master\app\femr\common\models\MedicationAdministrationItem.java","3","1","39","2","0","0","0","0","0","0","0","0","0","0","0","8","0","9","1","0","8","0","0","0","0","0","9","0","0","0","0","0","0","0","29","37","3","3","3","3","8","0","8","3","8","9","0","8","3","29","37","3","3","3","3","8","0","8","3","8","9","0","8","3","0","0","19","0","3","0","0","0","0","0","0","0","0","0","0","0","0","1","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0"
"L403","MedicationItem","femr.common.models.MedicationItem","L3788","L103","C:\Users\Michelle\Downloads\SourceMeter-8.1.0-x64-windows\SourceMeter-8.1.0-x64-windows\Java\Demo\femr-master\femr-master\app\femr\common\models\MedicationItem.java","26","1","160","2","0","0","0","0","0","0","0","0","1","0","0","17","1","12","4","4","21","0.0555556","0.194805","15","15","1","17","0.140187","15","0","0","0","0","0","62","97","8","8","8","8","17","0","17","7","17","22","0","17","7","92","135","12","11","12","11","25","0","25","11","25","30","0","25","11","0","0","62","0","2","0","0","0","0","0","0","0","0","0","0","0","0","1","54","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","8","0","0","0","0","0"
