"ID","Name","Component","CA","CCO","CE","CEE","CEG","CI","CLLOC","CR","CV","NCR","Clone Metric Rules"
"C126","0~CloneClass","L103","1","2","113","0","0","2","13","0","1","0.0666667","1"
"C139","3~CloneClass","L103","1","4","104","0","0","2","13.5","0","1","0.133333","1"
"C156","6~CloneClass","L103","1","4","29","0","0","2","16","0","1","0.0666667","0"
"C157","9~CloneClass","L103","1","10","78","0","0","5","13.6","0","1","0.0666667","1"
"C165","15~CloneClass","L103","1","6","34","0","0","3","17.3333","0","1","0.0666667","1"
"C180","19~CloneClass","L103","1","6","145","0","0","3","15.6667","0","1","0.0666667","2"
"C223","23~CloneClass","L103","1","2","723","0","0","2","116","0","1","0.0666667","2"
"C224","26~CloneClass","L103","1","2","705","0","0","2","113","0","1","0.0666667","2"
"C225","29~CloneClass","L103","1","2","687","0","0","2","110","0","1","0.0666667","2"
"C226","32~CloneClass","L103","1","2","669","0","0","2","107","0","1","0.0666667","2"
"C227","35~CloneClass","L103","1","2","651","0","0","2","104","0","1","0.0666667","2"
"C228","38~CloneClass","L103","1","2","633","0","0","2","101","0","1","0.0666667","2"
"C229","41~CloneClass","L103","1","2","615","0","0","2","98","0","1","0.0666667","2"
"C230","44~CloneClass","L103","1","2","597","0","0","2","95","0","1","0.0666667","2"
"C231","47~CloneClass","L103","1","2","579","0","0","2","92","0","1","0.0666667","2"
"C232","50~CloneClass","L103","1","2","561","0","0","2","89","0","1","0.0666667","2"
"C233","53~CloneClass","L103","1","2","543","0","0","2","86","0","1","0.0666667","2"
"C234","56~CloneClass","L103","1","2","525","0","0","2","83","0","1","0.0666667","2"
"C235","59~CloneClass","L103","1","2","507","0","0","2","80","0","1","0.0666667","2"
"C236","62~CloneClass","L103","1","3","733","0","0","3","77","0","1","0.0666667","3"
"C237","66~CloneClass","L103","1","3","706","0","0","3","74","0","1","0.0666667","3"
"C238","70~CloneClass","L103","1","3","679","0","0","3","71","0","1","0.0666667","3"
"C239","74~CloneClass","L103","1","3","652","0","0","3","68","0","1","0.0666667","3"
"C240","78~CloneClass","L103","1","3","625","0","0","3","65","0","1","0.0666667","3"
"C241","82~CloneClass","L103","1","3","598","0","0","3","62","0","1","0.0666667","3"
"C242","86~CloneClass","L103","1","3","571","0","0","3","59","0","1","0.0666667","3"
"C243","90~CloneClass","L103","1","4","725","0","0","4","56","0","1","0.0666667","3"
"C244","95~CloneClass","L103","1","4","689","0","0","4","53","0","1","0.0666667","3"
"C245","100~CloneClass","L103","1","4","653","0","0","4","50","0","1","0.0666667","3"
"C246","105~CloneClass","L103","1","4","617","0","0","4","47","0","1","0.0666667","3"
"C247","110~CloneClass","L103","1","5","726","0","0","5","44","0","1","0.0666667","3"
"C248","116~CloneClass","L103","1","5","681","0","0","5","41","0","1","0.0666667","3"
"C249","122~CloneClass","L103","1","6","763","0","0","6","38","0","1","0.0666667","3"
"C250","129~CloneClass","L103","1","6","709","0","0","6","35","0","1","0.0666667","3"
"C251","136~CloneClass","L103","1","7","764","0","0","7","32","0","1","0.0666667","2"
"C252","144~CloneClass","L103","1","7","701","0","0","7","29","0","1","0.0666667","2"
"C253","152~CloneClass","L103","1","8","729","0","0","8","26","0","1","0.0666667","2"
"C254","161~CloneClass","L103","1","9","739","0","0","9","23","0","1","0.0666667","2"
"C255","171~CloneClass","L103","1","11","804","0","0","11","20","0","1","0.0666667","3"
"C256","183~CloneClass","L103","1","13","833","0","0","13","17","0","1","0.0666667","3"
"C257","197~CloneClass","L103","1","15","826","0","0","15","14","0","1","0.0666667","3"
"C258","213~CloneClass","L103","1","19","875","0","0","19","11","0","1","0.0666667","3"
"C265","233~CloneClass","L103","1","2","101","0","0","2","19","0","1","0.0666667","0"
"C266","236~CloneClass","L103","1","3","94","0","0","3","11.3333","0","1","0.0666667","1"
"C445","240~CloneClass","L103","1","2","245","0","0","2","43.5","0","1","0.0666667","2"
"C446","243~CloneClass","L103","1","2","181","0","0","2","31.5","0","1","0.0666667","1"
"C447","246~CloneClass","L103","1","3","235","0","0","3","26.3333","0","1","0.0666667","2"
"C448","250~CloneClass","L103","1","3","199","0","0","3","21.3333","0","1","0.0666667","2"
"C449","254~CloneClass","L103","1","4","217","0","0","4","16.25","0","1","0.0666667","2"
"C450","259~CloneClass","L103","1","6","283","0","0","6","12.1667","0","1","0.0666667","2"
"C451","266~CloneClass","L103","1","7","295","0","0","7","11.1429","0","1","0.0666667","2"
"C461","274~CloneClass","L103","1","2","163","0","0","2","27","0","1","0.0666667","1"
"C462","277~CloneClass","L103","1","3","208","0","0","3","22","0","1","0.0666667","2"
"C463","281~CloneClass","L103","1","4","229","0","0","4","17","0","1","0.0666667","2"
"C464","286~CloneClass","L103","1","5","251","0","0","5","13","0","1","0.0666667","2"
"C465","292~CloneClass","L103","1","6","271","0","0","6","12","0","1","0.0666667","2"
"C522","299~CloneClass","L103","1","6","56","0","0","2","12","0","1","0.2","1"
"C530","302~CloneClass","L103","1","2","101","0","0","2","15","0","1","0.0666667","0"
"C531","305~CloneClass","L103","1","3","127","0","0","3","12","0","1","0.0666667","2"
"C555","309~CloneClass","L103","1","4","70","0","0","2","11","0","1","0.0666667","0"
"C556","312~CloneClass","L103","1","4","124","0","0","2","10","0","1","0.0666667","1"
"C558","315~CloneClass","L103","1","6","87","0","0","2","21","0","1","0.0666667","0"
"C559","318~CloneClass","L103","1","6","73","0","0","3","11.6667","0","1","0.0666667","1"
"C560","322~CloneClass","L103","1","18","112","0","0","3","42","0","1","0.0666667","4"
"C561","326~CloneClass","L103","1","18","175","0","0","3","37","0","1","0.0666667","4"
"C566","330~CloneClass","L103","1","8","63","0","0","2","20","0","1","0.0666667","0"
"C604","333~CloneClass","L103","1","4","111","0","0","2","20","0","1","0.0666667","1"
"C704","336~CloneClass","L103","1","2","246","0","0","2","113","0","1","0.0666667","2"
"C821","339~CloneClass","L103","1","6","61","0","0","3","15","0","1","0.0666667","1"
"C823","343~CloneClass","L103","1","6","79","0","0","2","12.5","0","1","0.0666667","0"
"C825","346~CloneClass","L103","1","6","23","0","0","2","10","0","1","0.0666667","0"
"C833","349~CloneClass","L103","1","2","79","0","0","2","14","0","1","0.0666667","0"
"C834","352~CloneClass","L103","1","4","81","0","0","2","12","0","1","0.133333","0"
"C837","355~CloneClass","L103","1","2","87","0","0","2","19","0","1","0.0666667","0"
"C838","358~CloneClass","L103","1","3","100","0","0","3","12","0","1","0.0666667","1"
"C842","362~CloneClass","L103","1","6","94","0","0","2","14","0","1","0.0666667","0"
