"ID","Name","Parent","Component","Path","Line","Column","EndLine","EndColumn","CA","CCO","CE","CLLOC","CV","Clone Metric Rules"
"C5610","567~CloneInstance","C1048","L103","C:\Users\Michelle\Downloads\SourceMeter-8.1.0-x64-windows\SourceMeter-8.1.0-x64-windows\Java\Demo\femr-master\femr-master\app\femr\common\IItemModelMapper.java","96","5","110","59","1","1","3","15","1","0"
"C5055","375~CloneInstance","C882","L103","C:\Users\Michelle\Downloads\SourceMeter-8.1.0-x64-windows\SourceMeter-8.1.0-x64-windows\Java\Demo\femr-master\femr-master\app\femr\common\ItemModelMapper.java","115","9","124","70","1","2","15","10","1","0"
"C5609","566~CloneInstance","C1048","L103","C:\Users\Michelle\Downloads\SourceMeter-8.1.0-x64-windows\SourceMeter-8.1.0-x64-windows\Java\Demo\femr-master\femr-master\app\femr\common\ItemModelMapper.java","161","12","175","73","1","1","33","15","1","0"
"C5056","376~CloneInstance","C882","L103","C:\Users\Michelle\Downloads\SourceMeter-8.1.0-x64-windows\SourceMeter-8.1.0-x64-windows\Java\Demo\femr-master\femr-master\app\femr\common\ItemModelMapper.java","545","9","554","52","1","2","23","10","1","0"
"C5613","569~CloneInstance","C1050","L103","C:\Users\Michelle\Downloads\SourceMeter-8.1.0-x64-windows\SourceMeter-8.1.0-x64-windows\Java\Demo\femr-master\femr-master\app\femr\common\ItemModelMapper.java","545","9","555","50","1","2","23","11","1","0"
"C6023","622~CloneInstance","C1153","L103","C:\Users\Michelle\Downloads\SourceMeter-8.1.0-x64-windows\SourceMeter-8.1.0-x64-windows\Java\Demo\femr-master\femr-master\app\femr\data\DataModelMapper.java","182","5","196","6","1","2","15","15","1","0"
"C6024","623~CloneInstance","C1153","L103","C:\Users\Michelle\Downloads\SourceMeter-8.1.0-x64-windows\SourceMeter-8.1.0-x64-windows\Java\Demo\femr-master\femr-master\app\femr\data\DataModelMapper.java","251","5","265","6","1","2","15","15","1","0"
"C5062","379~CloneInstance","C884","L103","C:\Users\Michelle\Downloads\SourceMeter-8.1.0-x64-windows\SourceMeter-8.1.0-x64-windows\Java\Demo\femr-master\femr-master\app\femr\data\DataModelMapper.java","315","9","324","49","1","2","20","10","1","0"
"C5063","380~CloneInstance","C884","L103","C:\Users\Michelle\Downloads\SourceMeter-8.1.0-x64-windows\SourceMeter-8.1.0-x64-windows\Java\Demo\femr-master\femr-master\app\femr\data\DataModelMapper.java","547","9","556","34","1","2","24","10","1","0"
"C6066","643~CloneInstance","C1169","L103","C:\Users\Michelle\Downloads\SourceMeter-8.1.0-x64-windows\SourceMeter-8.1.0-x64-windows\Java\Demo\femr-master\femr-master\app\femr\business\helpers\LogicDoer.java","36","5","49","6","1","3","5","14","1","0"
