"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Implementation Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Comment Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Coupling Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Finalizer Rules","Import Statement Rules","Inheritance Metric Rules","J2EE Rules","JUnit Rules","Jakarta Commons Logging Rules","Java Logging Rules","JavaBean Rules","MigratingToJUnit4 Rules","Migration Rules","Migration13 Rules","Migration14 Rules","Migration15 Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L1084","IItemModelMapper","femr.common.IItemModelMapper","L3194","L103","C:\Users\Michelle\Downloads\SourceMeter-8.1.0-x64-windows\SourceMeter-8.1.0-x64-windows\Java\Demo\femr-master\femr-master\app\femr\common\IItemModelMapper.java","29","1","261","2","0.027027","1","1","1","0.0643777","0.294118","15","15","0","0","0","18","25","13","59","0","18","0.947368","0.762791","164","164","18","1","0.762791","164","0","0","1","1","0","51","233","0","0","0","0","18","0","18","0","18","0","0","18","0","51","233","0","0","0","0","18","0","18","0","18","0","0","18","0","0","0","16","0","0","0","0","0","0","9","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0"
"L1192","IDataModelMapper","femr.data.IDataModelMapper","L4509","L103","C:\Users\Michelle\Downloads\SourceMeter-8.1.0-x64-windows\SourceMeter-8.1.0-x64-windows\Java\Demo\femr-master\femr-master\app\femr\data\IDataModelMapper.java","26","1","288","2","0","0","0","0","0","0","0","0","0","0","0","24","22","13","21","0","24","0.96","0.890756","212","212","24","1","0.890756","212","0","0","1","1","0","26","263","0","0","0","0","24","0","24","0","24","0","0","24","0","26","263","0","0","0","0","24","0","24","0","24","0","0","24","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0"
"L178","IRepository<T extends Object>","femr.data.daos.IRepository","L4513","L103","C:\Users\Michelle\Downloads\SourceMeter-8.1.0-x64-windows\SourceMeter-8.1.0-x64-windows\Java\Demo\femr-master\femr-master\app\femr\data\daos\IRepository.java","26","1","46","2","0","0","0","0","0","0","0","0","0","0","0","10","0","85","105","0","10","0","0","0","0","0","11","0","0","0","0","2","2","0","12","21","0","0","0","0","10","0","10","0","10","0","0","10","0","12","21","0","0","0","0","10","0","10","0","10","0","0","10","0","0","0","23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2712","IPasswordEncryptor","femr.util.encryptions.IPasswordEncryptor","L9779","L103","C:\Users\Michelle\Downloads\SourceMeter-8.1.0-x64-windows\SourceMeter-8.1.0-x64-windows\Java\Demo\femr-master\femr-master\app\femr\util\encryptions\IPasswordEncryptor.java","21","1","27","2","0","0","0","0","0","0","0","0","0","0","0","3","0","7","4","0","3","0","0","0","0","0","4","0","0","0","0","2","2","0","5","7","0","0","0","0","3","0","3","0","3","0","0","3","0","5","7","0","0","0","0","3","0","3","0","3","0","0","3","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L397","IConceptService","femr.business.services.core.IConceptService","L379","L103","C:\Users\Michelle\Downloads\SourceMeter-8.1.0-x64-windows\SourceMeter-8.1.0-x64-windows\Java\Demo\femr-master\femr-master\app\femr\business\services\core\IConceptService.java","27","1","43","2","0","0","0","0","0","0","0","0","0","0","0","2","2","3","2","0","2","0.666667","0.733333","11","11","2","1","0.733333","11","0","0","1","1","0","4","17","0","0","0","0","2","0","2","0","2","0","0","2","0","4","17","0","0","0","0","2","0","2","0","2","0","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L418","IConfigureService","femr.business.services.core.IConfigureService","L379","L103","C:\Users\Michelle\Downloads\SourceMeter-8.1.0-x64-windows\SourceMeter-8.1.0-x64-windows\Java\Demo\femr-master\femr-master\app\femr\business\services\core\IConfigureService.java","26","1","42","2","0","0","0","0","0","0","0","0","0","0","0","2","2","4","2","0","2","0.666667","0.733333","11","11","2","1","0.733333","11","0","0","1","1","0","4","17","0","0","0","0","2","0","2","0","2","0","0","2","0","4","17","0","0","0","0","2","0","2","0","2","0","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L436","IEncounterService","femr.business.services.core.IEncounterService","L379","L103","C:\Users\Michelle\Downloads\SourceMeter-8.1.0-x64-windows\SourceMeter-8.1.0-x64-windows\Java\Demo\femr-master\femr-master\app\femr\business\services\core\IEncounterService.java","27","1","122","2","0","0","0","0","0","0","0","0","0","0","0","9","6","9","10","0","9","0.9","0.873563","76","76","9","1","0.873563","76","0","0","1","1","0","11","96","0","0","0","0","9","0","9","0","9","0","0","9","0","11","96","0","0","0","0","9","0","9","0","9","0","0","9","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L518","IInventoryService","femr.business.services.core.IInventoryService","L379","L103","C:\Users\Michelle\Downloads\SourceMeter-8.1.0-x64-windows\SourceMeter-8.1.0-x64-windows\Java\Demo\femr-master\femr-master\app\femr\business\services\core\IInventoryService.java","27","1","73","2","0","0","0","0","0","0","0","0","0","0","0","4","2","7","5","0","4","1","0.869565","40","40","5","0","0.869565","40","0","0","1","1","0","6","47","0","0","0","0","4","0","4","2","4","0","0","4","2","6","47","0","0","0","0","4","0","4","2","4","0","0","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L539","IMedicationService","femr.business.services.core.IMedicationService","L379","L103","C:\Users\Michelle\Downloads\SourceMeter-8.1.0-x64-windows\SourceMeter-8.1.0-x64-windows\Java\Demo\femr-master\femr-master\app\femr\business\services\core\IMedicationService.java","35","1","139","2","0","0","0","0","0","0","0","0","0","0","0","11","5","8","9","0","11","1","0.868687","86","86","12","0","0.868687","86","0","0","1","1","0","13","105","0","0","0","0","11","0","11","0","11","0","0","11","0","13","105","0","0","0","0","11","0","11","0","11","0","0","11","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0"
"L622","IMissionTripService","femr.business.services.core.IMissionTripService","L379","L103","C:\Users\Michelle\Downloads\SourceMeter-8.1.0-x64-windows\SourceMeter-8.1.0-x64-windows\Java\Demo\femr-master\femr-master\app\femr\business\services\core\IMissionTripService.java","28","1","126","2","0","0","0","0","0","0","0","0","0","0","0","11","7","9","11","0","11","0.916667","0.852273","75","75","11","1","0.852273","75","0","0","1","1","0","13","99","0","0","0","0","11","0","11","0","11","0","0","11","0","13","99","0","0","0","0","11","0","11","0","11","0","0","11","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
