"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Implementation Rules","Clone Metric Rules","Code Size Rules","Comment Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Coupling Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Finalizer Rules","Import Statement Rules","J2EE Rules","JUnit Rules","Jakarta Commons Logging Rules","Java Logging Rules","JavaBean Rules","MigratingToJUnit4 Rules","Migration Rules","Migration13 Rules","Migration14 Rules","Migration15 Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L1792","CityItem createCityItem(String cityName, String countryName)","femr.common.IItemModelMapper.createCityItem(Ljava/lang/String;Ljava/lang/String;)Lfemr/common/models/CityItem;","L1084","L103","C:\Users\Michelle\Downloads\SourceMeter-8.1.0-x64-windows\SourceMeter-8.1.0-x64-windows\Java\Demo\femr-master\femr-master\app\femr\common\IItemModelMapper.java","38","5","38","66","0","0","0","0","0","0","0","0","1","0","0","4","0","0.875","7","7","0.875","7","1","1","0","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1688","MedicationAdministrationItem createMedicationAdministrationItem(IConceptPrescriptionAdministration conceptPrescriptionAdministration)","femr.common.IItemModelMapper.createMedicationAdministrationItem(Lfemr/data/models/core/IConceptPrescriptionAdministration;)Lfemr/common/models/MedicationAdministrationItem;","L1084","L103","C:\Users\Michelle\Downloads\SourceMeter-8.1.0-x64-windows\SourceMeter-8.1.0-x64-windows\Java\Demo\femr-master\femr-master\app\femr\common\IItemModelMapper.java","46","5","46","139","0","0","0","0","0","0","0","0","1","0","0","1","0","0.857143","6","6","0.857143","6","1","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1113","MedicationItem createMedicationItem(IMedication medication, Integer quantityCurrent, Integer quantityTotal, DateTime isDeleted)","femr.common.IItemModelMapper.createMedicationItem(LIMedication;LInteger;LInteger;LDateTime;)LMedicationItem;","L1084","L103","C:\Users\Michelle\Downloads\SourceMeter-8.1.0-x64-windows\SourceMeter-8.1.0-x64-windows\Java\Demo\femr-master\femr-master\app\femr\common\IItemModelMapper.java","57","5","57","133","0","0","0","0","0","0","0","0","1","0","0","9","0","0.9","9","9","0.9","9","1","1","0","4","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1827","MissionItem createMissionItem(IMissionTeam missionTeam, List<MissionTripItem> missionTripItems)","femr.common.IItemModelMapper.createMissionItem(Lfemr/data/models/core/IMissionTeam;Ljava/util/List;)Lfemr/common/models/MissionItem;","L1084","L103","C:\Users\Michelle\Downloads\SourceMeter-8.1.0-x64-windows\SourceMeter-8.1.0-x64-windows\Java\Demo\femr-master\femr-master\app\femr\common\IItemModelMapper.java","66","5","66","101","0","0","0","0","0","0","0","0","1","0","0","1","0","0.875","7","7","0.875","7","1","1","0","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1767","MissionTripItem createMissionTripItem(IMissionTrip missionTrip)","femr.common.IItemModelMapper.createMissionTripItem(Lfemr/data/models/core/IMissionTrip;)Lfemr/common/models/MissionTripItem;","L1084","L103","C:\Users\Michelle\Downloads\SourceMeter-8.1.0-x64-windows\SourceMeter-8.1.0-x64-windows\Java\Demo\femr-master\femr-master\app\femr\common\IItemModelMapper.java","74","5","74","69","0","0","0","0","0","0","0","0","1","0","0","3","0","0.857143","6","6","0.857143","6","1","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1935","PatientItem createPatientItem(int id, String firstName, String lastName, String city, String address, int userId, Date age, String sex, Integer weeksPregnant, Integer heightFeet, Integer heightInches, Float weight, String pathToPatientPhoto, Integer photoId, String ageClassification)","femr.common.IItemModelMapper.createPatientItem(ILjava/lang/String;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;ILjava/util/Date;Ljava/lang/String;Ljava/lang/Integer;Ljava/lang/Integer;Ljava/lang/Integer;Ljava/lang/Float;Ljava/lang/String;Ljava/lang/Integer;Ljava/lang/String;)Lfemr/common/models/PatientItem;","L1084","L103","C:\Users\Michelle\Downloads\SourceMeter-8.1.0-x64-windows\SourceMeter-8.1.0-x64-windows\Java\Demo\femr-master\femr-master\app\femr\common\IItemModelMapper.java","96","5","110","61","0.5","1","1","1","1","1","15","15","1","0","0","6","0","0.571429","20","20","0.571429","20","15","15","0","15","15","15","0","0","0","7","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"L1244","PatientEncounterItem createPatientEncounterItem(IPatientEncounter patientEncounter)","femr.common.IItemModelMapper.createPatientEncounterItem(Lfemr/data/models/core/IPatientEncounter;)Lfemr/common/models/PatientEncounterItem;","L1084","L103","C:\Users\Michelle\Downloads\SourceMeter-8.1.0-x64-windows\SourceMeter-8.1.0-x64-windows\Java\Demo\femr-master\femr-master\app\femr\common\IItemModelMapper.java","118","5","118","89","0","0","0","0","0","0","0","0","1","0","0","6","0","0.857143","6","6","0.857143","6","1","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2092","PhotoItem createPhotoItem(int id, String description, Date insertTimeStamp, String imageURL)","femr.common.IItemModelMapper.createPhotoItem(ILjava/lang/String;Ljava/util/Date;Ljava/lang/String;)Lfemr/common/models/PhotoItem;","L1084","L103","C:\Users\Michelle\Downloads\SourceMeter-8.1.0-x64-windows\SourceMeter-8.1.0-x64-windows\Java\Demo\femr-master\femr-master\app\femr\common\IItemModelMapper.java","129","5","129","98","0","0","0","0","0","0","0","0","1","0","0","1","0","0.9","9","9","0.9","9","1","1","0","4","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1622","PrescriptionItem createPrescriptionItem(int id, String name, String originalMedicationName, String firstName, String lastName, IConceptPrescriptionAdministration conceptPrescriptionAdministration, Integer amount, IMedication medication, MedicationInventory medicationInventory, Boolean isCounseled)","femr.common.IItemModelMapper.createPrescriptionItem(ILjava/lang/String;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Lfemr/data/models/core/IConceptPrescriptionAdministration;Ljava/lang/Integer;Lfemr/data/models/core/IMedication;Lfemr/data/models/mysql/MedicationInventory;Ljava/lang/Boolean;)Lfemr/common/models/PrescriptionItem;","L1084","L103","C:\Users\Michelle\Downloads\SourceMeter-8.1.0-x64-windows\SourceMeter-8.1.0-x64-windows\Java\Demo\femr-master\femr-master\app\femr\common\IItemModelMapper.java","146","5","148","131","0","0","0","0","0","0","0","0","1","0","0","4","0","0.833333","15","15","0.833333","15","3","3","0","10","3","3","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"L1366","ProblemItem createProblemItem(String name)","femr.common.IItemModelMapper.createProblemItem(Ljava/lang/String;)Lfemr/common/models/ProblemItem;","L1084","L103","C:\Users\Michelle\Downloads\SourceMeter-8.1.0-x64-windows\SourceMeter-8.1.0-x64-windows\Java\Demo\femr-master\femr-master\app\femr\common\IItemModelMapper.java","156","5","156","48","0","0","0","0","0","0","0","0","1","0","0","1","0","0.857143","6","6","0.857143","6","1","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
