"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Implementation Rules","Code Size Rules","Comment Rules","Controversial Rules","Coupling Rules","Design Rules","Empty Code Rules","Finalizer Rules","Import Statement Rules","J2EE Rules","JUnit Rules","Jakarta Commons Logging Rules","Java Logging Rules","JavaBean Rules","MigratingToJUnit4 Rules","Migration Rules","Migration13 Rules","Migration14 Rules","Migration15 Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L100","<root_package>","<root_package>","__LogicalRoot__","L103","0.214274","153","1441","535","0.099764","0.157468","3382","2819","0","0","0","0","0","0.187448","0.296462","7550","451","1955","0","0","0","0","0","0","0","0","0","5","0","0","17917","33900","825","332","94","0","279","845","55","2249","8109","18","202","0","55","69","2148","730","0","14","6989","399","578","0","12","211","0","0","0","8","0","130","6","0","4","0","0","5","10","0","0","0","0","0","0","113","22","2","219","79","149","27","0"
"L104","femr","femr","L100","L103","0.205505","153","1440","534","0.108793","0.156347","3316","2760","0","0","0","0","0","0.187998","0.29604","7430","448","1935","0","0","0","0","0","0","0","0","0","5","0","0","17668","30480","814","265","68","0","250","844","55","2228","7994","8","195","0","55","56","2133","730","0","14","6431","398","559","0","12","210","0","0","0","8","0","126","6","0","4","0","0","5","10","0","0","0","0","0","0","113","16","2","219","79","140","27","0"
"L10357","functional","functional","L100","L103","0","0","0","0","0","0","0","0","0","0.5625","9","0","1","0","0.5625","9","0","1","7","19","0","1","0","0","0","0","0","0","0","0","7","19","0","1","12","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0"
"L10363","unnamed package","unnamed package","L100","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2991","0","0","0","0","0","0","0","0","0","0","0","2991","0","0","28","0","22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L13325","mock","mock","L100","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0470588","4","0","15","0","0","0","0","0","0","0","0","0","1","0","0","81","113","10","2","17","0","2","0","0","13","21","10","2","0","0","5","13","0","0","0","43","0","8","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0"
"L13391","util","util","L100","L103","0.665921","1","1","1","0.222222","0.36646","66","59","0","0","0","0","0","0.428571","0.399254","107","3","4","0","0","0","0","0","0","0","0","0","2","0","0","161","297","1","64","15","0","4","1","0","8","94","0","4","0","0","3","2","0","0","0","514","1","7","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0"
"L105","business","femr.business","L104","L103","0.166796","30","167","70","0.130587","0.178782","1084","819","0","0","0","0","0","0.692568","0.320889","2166","205","91","0","0","0","0","0","0","0","0","0","3","0","0","4584","8301","85","19","19","0","35","39","16","283","2358","0","19","0","16","6","261","4","0","7","884","168","135","0","6","73","0","0","0","0","0","39","3","0","0","0","0","0","4","0","0","0","0","0","0","6","3","0","101","28","37","13","0"
"L3194","common","femr.common","L104","L103","0.015438","3","8","5","0.0572519","0.258621","15","15","0.947368","0.364754","267","36","2","0.0979021","0.27574","699","42","387","465","872","0","1","0","0","1","36","0","2","36","0","1836","3136","175","25","15","0","25","166","1","403","657","0","25","0","1","2","403","168","0","2","961","3","76","0","1","39","0","0","0","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","22","0","0","0","1","6","0","0"
"L4509","data","femr.data","L104","L103","0.0108439","2","8","4","0.0805153","0.0862944","50","34","0.960784","0.435762","329","49","2","0.0943601","0.324207","1717","87","835","426","910","31","1","0","0","1","49","0","2","49","0","3579","6516","243","41","22","0","78","392","37","844","702","6","41","0","37","9","844","355","0","0","1977","17","94","0","0","11","0","0","0","0","0","5","0","0","0","0","0","5","0","0","0","0","0","0","0","39","0","2","7","1","38","3","0"
"L6607","ui","femr.ui","L104","L103","0.119427","26","116","54","0.0847575","0.100671","610","450","0","0","0","0","0","0.0858144","0.227249","1316","49","522","0","0","0","0","0","0","0","0","0","4","0","0","4475","7197","286","61","38","0","60","206","0","536","2070","2","59","0","0","25","512","202","0","2","1568","139","147","0","2","47","0","0","0","8","0","46","2","0","4","0","0","0","1","0","0","0","0","0","0","14","3","0","108","1","44","10","0"
